白铁加工,13839651979	0.488|0.384|1.0,0.671|0.859|0.062	白铁加工
金牛管业,pipe,湖北,产地,C管一PP一B管一PE一日I管,kingbull,UST	0.457|0.477|1.0,0.546|0.712|0.017,0.893|0.46|0.039,0.822|0.462|0.038,0.853|0.571|0.02,0.445|0.714|0.02,0.651|0.707|0.059	金牛管业
皇住村支部委员会,周村区南郊镇,中国共产党	0.48|0.629|1.0,0.189|0.16|0.181,0.582|0.157|0.251	中国共产党周村区南郊镇皇住村支部委员会
考证培训中心,郴州市特种作业,电话,18607357321	0.49|0.569|1.0,0.489|0.239|0.807,0.524|0.86|0.107,0.772|0.87|0.066	彬州市特种作业考证培训中心
15004224282,冯涛蔬菜瓜果合作社,电话	0.762|0.923|0.054,0.498|0.427|1.0,0.54|0.923|0.074	冯涛蔬菜瓜果合作社
德奥罗兰,中国十大品牌,1381598796,daorol,全铝家居,全屋定制,全铝家具	0.289|0.516|1.0,0.841|0.172|0.103,0.883|0.912|0.032,0.126|0.128|0.087,0.734|0.536|0.914,0.594|0.896|0.08,0.421|0.884|0.077	德奥罗兰全铝家居
星星鲜果,十蒙老阳,电话2V75955	0.446|0.447|1.0,0.798|0.437|0.25,0.773|0.649|0.03	星星鲜果
联系电话7399704833,联系人,中盐集团,桂湖,东盛农资专卖店,红四方复合肥,桂湖,赵文辉,cnsg,56190559之,中国中央大型企业6年央企好品质,金国农技,因	0.666|0.801|0.055,0.433|0.819|0.053,0.071|0.562|0.015,0.812|0.266|0.051,0.31|0.822|0.069,0.395|0.502|0.952,0.915|0.482|1.0,0.499|0.817|0.056,0.073|0.495|0.014,0.861|0.803|0.039,0.398|0.159|0.144,0.956|0.161|0.053,0.805|0.382|0.121	红四方复合肥
凉面米,分皮,油酥饼	0.37|0.534|0.318,0.618|0.512|1.0,0.142|0.412|0.497	油酥饼
全屋石材定制,venizen,威雨斯,威尔斯陶瓷,国家准标制定企业	0.787|0.848|0.079,0.171|0.511|0.018,0.172|0.707|0.07,0.588|0.474|1.0,0.542|0.87|0.078	威尔斯陶瓷
