白铁加工	0.488|0.384|1.0	白铁加工
金牛管业,pipe,湖北,产地,UST	0.457|0.477|1.0,0.546|0.712|0.017,0.893|0.46|0.039,0.822|0.462|0.038,0.651|0.707|0.059	金牛管业
皇住村支部委员会,周村区南郊镇,中国共产党	0.48|0.629|1.0,0.189|0.16|0.181,0.582|0.157|0.251	中国共产党周村区南郊镇皇住村支部委员会
考证培训中心,郴州市特种作业,电话	0.49|0.569|1.0,0.489|0.239|0.807,0.524|0.86|0.107	彬州市特种作业考证培训中心
冯涛蔬菜瓜果合作社,电话	0.498|0.427|1.0,0.54|0.923|0.074	冯涛蔬菜瓜果合作社
德奥罗兰,中国十大品牌,全铝家居,全屋定制,全铝家具	0.289|0.516|1.0,0.841|0.172|0.103,0.734|0.536|0.914,0.594|0.896|0.08,0.421|0.884|0.077	德奥罗兰全铝家居
星星鲜果,十蒙老阳	0.446|0.447|1.0,0.798|0.437|0.25	星星鲜果
联系人,中盐集团,桂湖,东盛农资专卖店,红四方复合肥,桂湖,赵文辉,cnsg,中国中央大型企业6年央企好品质,金国农技,因	0.433|0.819|0.053,0.071|0.562|0.015,0.812|0.266|0.051,0.31|0.822|0.069,0.395|0.502|0.952,0.915|0.482|1.0,0.499|0.817|0.056,0.073|0.495|0.014,0.398|0.159|0.144,0.956|0.161|0.053,0.805|0.382|0.121	红四方复合肥
凉面米,分皮,油酥饼	0.37|0.534|0.318,0.618|0.512|1.0,0.142|0.412|0.497	油酥饼
全屋石材定制,威雨斯,威尔斯陶瓷,国家准标制定企业	0.787|0.848|0.079,0.172|0.707|0.07,0.588|0.474|1.0,0.542|0.87|0.078	威尔斯陶瓷
大型经营性公墓,安庆莲花山陵园,佛缘香行	0.322|0.712|0.069,0.509|0.375|1.0,0.255|0.891|0.082	安庆莲花山陵园
理代雪售,no,椰海金叶,琼a0089,骏豪隆商行	0.164|0.657|0.156,0.762|0.671|0.067,0.453|0.418|1.0,0.858|0.671|0.066,0.814|0.468|0.304	椰海金叶俊豪隆商行
日丰ppr管,炉具,开关电线,水暖洁具,电工,冰箱,监控器材,小路电器,电脑,力诺桑乐太阳能,小路,专业上下水暖,电视,九豪,家电修理,烟机	0.875|0.86|0.156,0.6|0.116|0.082,0.617|0.261|0.081,0.838|0.5|0.533,0.28|0.87|0.074,0.402|0.118|0.076,0.493|0.258|0.075,0.153|0.196|0.286,0.469|0.121|0.086,0.352|0.539|1.0,0.834|0.198|0.622,0.124|0.865|0.1,0.332|0.118|0.076,0.742|0.874|0.133,0.361|0.256|0.082,0.535|0.121|0.069	小路电器
